(4, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(3, ('Glycolaldehyde', 'Glyceraldehyde 3-phosphate'), ('D-Xylose-5-phosphate',), ('4.1.2.b.2.f',))
(3, ('Aldehyde', 'Glyoxylate'), ('Glycolaldehyde',), ('4.1.2.38.8.r',))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(2, ('Glycolaldehyde', 'D-Threose 4-phosphate'), ('D-Allose 6-phosphate',), ('4.1.2.b.2.f',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(6, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(5, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(4, ('Aldehyde',), ('Glycolaldehyde',), ('4.1.2.a.2.r', '4.1.2.38.4.f'))
(4, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(3, ('Glycolaldehyde', 'Glyceraldehyde 3-phosphate'), ('D-Xylose-5-phosphate',), ('4.1.2.b.2.f',))
(3, ('Aldehyde', 'Glyoxylate'), ('Glycolaldehyde',), ('4.1.2.38.8.r',))
(2, ('D-Xylose-5-phosphate', 'Aldehyde'), ('D-Allose 6-phosphate',), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(2, ('Glycolaldehyde', 'D-Threose 4-phosphate'), ('D-Allose 6-phosphate',), ('4.1.2.b.2.f',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(6, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(5, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(4, ('Aldehyde',), ('Glycolaldehyde',), ('4.1.2.a.2.r', '4.1.2.38.4.f'))
(4, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(3, ('Glycolaldehyde', 'Glyceraldehyde 3-phosphate'), ('D-Xylose-5-phosphate',), ('4.1.2.b.2.f',))
(3, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(2, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(6, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(5, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(4, ('Aldehyde',), ('Glycolaldehyde',), ('4.1.2.a.2.r', '4.1.2.38.4.f'))
(4, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(3, ('Glycolaldehyde', 'Glyceraldehyde 3-phosphate'), ('D-Xylose-5-phosphate',), ('4.1.2.b.2.f',))
(3, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(2, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))
(2, ('D-Xylose-5-phosphate', 'Aldehyde'), ('D-Allose 6-phosphate',), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(6, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(5, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(4, ('Aldehyde',), ('Glycolaldehyde',), ('4.1.2.a.2.r', '4.1.2.38.4.f'))
(4, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(3, ('Glycolaldehyde', 'Glyceraldehyde 3-phosphate'), ('D-Xylose-5-phosphate',), ('4.1.2.b.2.f',))
(3, ('Glyceraldehyde 3-phosphate', 'Glyoxylate'), ('D-Threose 4-phosphate',), ('4.1.2.38.7.r',))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(2, ('Glycolaldehyde', 'D-Threose 4-phosphate'), ('D-Allose 6-phosphate',), ('4.1.2.b.2.f',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(6, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(5, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(4, ('Aldehyde',), ('Glycolaldehyde',), ('4.1.2.a.2.r', '4.1.2.38.4.f'))
(4, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(3, ('Glycolaldehyde', 'Glyceraldehyde 3-phosphate'), ('D-Xylose-5-phosphate',), ('4.1.2.b.2.f',))
(3, ('Glyceraldehyde 3-phosphate', 'Glyoxylate'), ('D-Threose 4-phosphate',), ('4.1.2.38.7.r',))
(2, ('D-Xylose-5-phosphate', 'Aldehyde'), ('D-Allose 6-phosphate',), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(2, ('Glycolaldehyde', 'D-Threose 4-phosphate'), ('D-Allose 6-phosphate',), ('4.1.2.b.2.f',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(6, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(5, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
