(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('O=C(O)C(=O)CCO',), 828)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('O=C(O)C(=O)CCO',), ('CC(=O)C(=O)O',), 20)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('O=C(O)C(=O)CCO',), 828)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('O=C(O)C(=O)CCO',), ('CC(=O)C(=O)O',), 19)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('O=C(O)C(=O)CCO',), 828)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('O=C(O)C(=O)CCO',), ('CC(=O)C(=O)O',), 20)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('O=C(O)C(=O)CCO',), 828)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('O=C(O)C(=O)CCO',), ('CC(=O)C(=O)O',), 19)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('CC(=O)C(O)(O)C=O',), 800)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(=O)C(O)(O)C=O',), ('CC(=O)C(=O)O',), 18)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('CC(=O)C(O)(O)C=O',), 800)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(=O)C(O)(O)C=O',), ('CC(=O)C(=O)O',), 19)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('CC(=O)C(O)(O)C=O',), 800)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(=O)C(O)(O)C=O',), ('CC(=O)C(=O)O',), 18)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('CC(=O)C(O)(O)C=O',), 800)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(=O)C(O)(O)C=O',), ('CC(=O)C(=O)O',), 19)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('CC(O)(C=O)C(=O)O',), 801)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(O)(C=O)C(=O)O',), ('CC(=O)C(=O)O',), 17)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('CC(=O)C(=O)O', 'C=O'), ('CC(O)(C=O)C(=O)O',), 801)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(O)(C=O)C(=O)O',), ('CC(=O)C(=O)O',), 18)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
